Link_Text,Link_URL
"
Hasil Hong Kong Open 2024: Libas Popov Bersaudara, Leo Rolly/Bagas Maulana Rebut Tiket 16 Besar
",https://sports.okezone.com/read/2024/09/10/40/3061231/hasil-hong-kong-open-2024-libas-popov-bersaudara-leo-rolly-bagas-maulana-rebut-tiket-16-besar?page=1
"


",https://sports.okezone.com/read/2024/09/10/36/3061253/pon-xxi-aceh-sumut-2024-tim-basket-dki-jakarta-kawinkan-medali-emas
BASKET,https://sports.okezone.com/basket
PON XXI Aceh-Sumut 2024: Tim Basket DKI Jakarta Kawinkan Medali Emas!,https://sports.okezone.com/read/2024/09/10/36/3061253/pon-xxi-aceh-sumut-2024-tim-basket-dki-jakarta-kawinkan-medali-emas
"


",https://sports.okezone.com/read/2024/09/10/40/3061231/hasil-hong-kong-open-2024-libas-popov-bersaudara-leo-rolly-bagas-maulana-rebut-tiket-16-besar
NETTING,https://sports.okezone.com/netting
"Hasil Hong Kong Open 2024: Libas Popov Bersaudara, Leo Rolly/Bagas Maulana Rebut Tiket 16 Besar",https://sports.okezone.com/read/2024/09/10/40/3061231/hasil-hong-kong-open-2024-libas-popov-bersaudara-leo-rolly-bagas-maulana-rebut-tiket-16-besar
"




",https://video.okezone.com/play/2022/08/16/1/151970/mars-perindo-versi-terbaru-tunjukkan-keindahan-keberagaman-indonesia?ht=advbreaking-sports
VIDEO,https://sports.okezone.com/video
"Mars Perindo Versi Terbaru, Tunjukkan Keindahan & Keberagaman Indonesia",https://video.okezone.com/play/2022/08/16/1/151970/mars-perindo-versi-terbaru-tunjukkan-keindahan-keberagaman-indonesia?ht=advbreaking-sports
"




",https://video.okezone.com/play/2024/09/10/2/185000/atlet-paralimpiade-indonesia-tiba-di-tanah-air-bawa-pulang-14-medali
SPORT,https://sports.okezone.com/video
"Atlet Paralimpiade Indonesia Tiba di Tanah Air, Bawa Pulang 14 Medali",https://video.okezone.com/play/2024/09/10/2/185000/atlet-paralimpiade-indonesia-tiba-di-tanah-air-bawa-pulang-14-medali
"


",https://sports.okezone.com/read/2024/09/10/43/3061190/bawa-pulang-14-medali-dari-paralimpiade-paris-2024-atlet-indonesia-disambut-hangat-di-tanah-air
SPORT LAIN,https://sports.okezone.com/sportlain
"Bawa Pulang 14 Medali dari Paralimpiade Paris 2024, Atlet Indonesia Disambut Hangat di Tanah Air",https://sports.okezone.com/read/2024/09/10/43/3061190/bawa-pulang-14-medali-dari-paralimpiade-paris-2024-atlet-indonesia-disambut-hangat-di-tanah-air
"


",https://sports.okezone.com/read/2024/09/10/43/3061159/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-17-00-wib-jawa-timur-masih-tak-terkejar
SPORT LAIN,https://sports.okezone.com/sportlain
"Klasemen Sementara Perolehan medali PON XXI Aceh-Sumut 2024, Selasa 10 September 2024 Pukul 17.00 WIB: Jawa Timur Masih Tak Terkejar",https://sports.okezone.com/read/2024/09/10/43/3061159/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-17-00-wib-jawa-timur-masih-tak-terkejar
"


",https://sports.okezone.com/read/2024/09/10/40/3061133/hasil-hong-kong-open-2024-pulangkan-mohammad-ahsan-hendra-setiawan-sabar-karyaman-reza-pahlevi-lanjut-ke-16-besar
NETTING,https://sports.okezone.com/netting
"Hasil Hong Kong Open 2024: Pulangkan Mohammad Ahsan/Hendra Setiawan, Sabar Karyaman/Reza Pahlevi Lanjut ke 16 Besar",https://sports.okezone.com/read/2024/09/10/40/3061133/hasil-hong-kong-open-2024-pulangkan-mohammad-ahsan-hendra-setiawan-sabar-karyaman-reza-pahlevi-lanjut-ke-16-besar
"


",https://sports.okezone.com/read/2024/09/10/40/3061112/5-pelatih-top-yang-putuskan-keluar-dari-pbsi-nomor-1-tangani-bocah-ajaib-an-se-young
NETTING,https://sports.okezone.com/netting
"5 Pelatih Top yang Putuskan Keluar dari PBSI, Nomor 1 Tangani Bocah Ajaib An Se Young!",https://sports.okezone.com/read/2024/09/10/40/3061112/5-pelatih-top-yang-putuskan-keluar-dari-pbsi-nomor-1-tangani-bocah-ajaib-an-se-young
"


",https://sports.okezone.com/read/2024/09/10/40/3061020/kisah-mathias-boe-legenda-denmark-yang-sebut-mohammad-ahsan-hendra-setiawan-sebagai-pebulutangkis-terbaik-sepanjang-masa
NETTING,https://sports.okezone.com/netting
"Kisah Mathias Boe, Legenda Denmark yang Sebut Mohammad Ahsan/Hendra Setiawan sebagai Pebulutangkis Terbaik Sepanjang Masa",https://sports.okezone.com/read/2024/09/10/40/3061020/kisah-mathias-boe-legenda-denmark-yang-sebut-mohammad-ahsan-hendra-setiawan-sebagai-pebulutangkis-terbaik-sepanjang-masa
"




",https://video.okezone.com/play/2024/09/10/2/184986/ana-timi-juara-taipei-open-2024
SPORT,https://sports.okezone.com/video
Ana/Timi Juara Taipei Open 2024,https://video.okezone.com/play/2024/09/10/2/184986/ana-timi-juara-taipei-open-2024
SPORT LAIN,https://sports.okezone.com/sportlain
"Jadwal Voli PON XXI Aceh-Sumut 2024 Diundur 1 Hari, Gara-Gara Akses Jalan Menuju GOR Belum Kelar",https://sports.okezone.com/read/2024/09/10/43/3060956/jadwal-voli-pon-xxi-aceh-sumut-2024-diundur-1-hari-gara-gara-akses-jalan-menuju-gor-belum-kelar
"


",https://sports.okezone.com/read/2024/09/10/40/3060936/baru-juara-taipei-open-2024-febriana-dwipuji-amallia-cahaya-pasang-target-ini-di-hong-kong-open-2024
NETTING,https://sports.okezone.com/netting
"Baru Juara Taipei Open 2024, Febriana Dwipuji/Amallia Cahaya Pasang Target Ini di Hong Kong Open 2024",https://sports.okezone.com/read/2024/09/10/40/3060936/baru-juara-taipei-open-2024-febriana-dwipuji-amallia-cahaya-pasang-target-ini-di-hong-kong-open-2024
"


",https://sports.okezone.com/read/2024/09/10/40/3060911/lawan-anthony-ginting-berubah-di-hong-kong-open-2024-usung-misi-revans-dari-toma-junior-popov
NETTING,https://sports.okezone.com/netting
"Lawan Anthony Ginting Berubah di Hong Kong Open 2024, Usung Misi Revans dari Toma Junior Popov",https://sports.okezone.com/read/2024/09/10/40/3060911/lawan-anthony-ginting-berubah-di-hong-kong-open-2024-usung-misi-revans-dari-toma-junior-popov
"




",https://video.okezone.com/play/2024/09/10/2/184964/meriahnya-opening-ceremony-pon-xxi-aceh-sumut
SPORT,https://sports.okezone.com/video
Meriahnya Opening Ceremony PON XXI Aceh-Sumut,https://video.okezone.com/play/2024/09/10/2/184964/meriahnya-opening-ceremony-pon-xxi-aceh-sumut
"




",https://foto.okezone.com/view/2024/09/10/2/97936/pesta-kembang-api-meriahkan-pembukaan-pon-xxi-aceh-sumut-di-stadion-harapan-bangsa
SPORT,https://sports.okezone.com/foto
Pesta kembang Api Meriahkan Pembukaan PON XXI Aceh Sumut di Stadion Harapan Bangsa,https://foto.okezone.com/view/2024/09/10/2/97936/pesta-kembang-api-meriahkan-pembukaan-pon-xxi-aceh-sumut-di-stadion-harapan-bangsa
"


",https://sports.okezone.com/read/2024/09/10/36/3060895/resmi-ardima-rama-putra-ditunjuk-sebagai-plt-ketum-pp-perbasi
BASKET,https://sports.okezone.com/basket
"Resmi, Ardima Rama Putra Ditunjuk sebagai Plt Ketum PP PERBASI",https://sports.okezone.com/read/2024/09/10/36/3060895/resmi-ardima-rama-putra-ditunjuk-sebagai-plt-ketum-pp-perbasi
"




",https://foto.okezone.com/view/2024/09/10/2/97934/pesta-kembang-api-pembukaan-pon-xxi-aceh-sumut
SPORT,https://sports.okezone.com/foto
Pesta Kembang Api Pembukaan PON XXI Aceh-Sumut,https://foto.okezone.com/view/2024/09/10/2/97934/pesta-kembang-api-pembukaan-pon-xxi-aceh-sumut
"


",https://sports.okezone.com/read/2024/09/10/43/3060857/daftar-jumlah-atlet-dari-39-kontingen-di-pon-xxi-aceh-sumut-2024-kirim-1-210-atlet-jawa-barat-paling-banyak
SPORT LAIN,https://sports.okezone.com/sportlain
"Daftar Jumlah Atlet dari 39 Kontingen di PON XXI Aceh-Sumut 2024: Kirim 1.210 Atlet, Jawa Barat Paling Banyak!",https://sports.okezone.com/read/2024/09/10/43/3060857/daftar-jumlah-atlet-dari-39-kontingen-di-pon-xxi-aceh-sumut-2024-kirim-1-210-atlet-jawa-barat-paling-banyak
"


",https://sports.okezone.com/read/2024/09/10/40/3060843/daftar-wakil-indonesia-di-denmark-open-2024-gregoria-mariska-hingga-jonatan-christie-siap-tempur-ganda-putri-absen-lagi
NETTING,https://sports.okezone.com/netting
"Daftar Wakil Indonesia di Denmark Open 2024: Gregoria Mariska hingga Jonatan Christie Siap Tempur, Ganda Putri Absen Lagi!",https://sports.okezone.com/read/2024/09/10/40/3060843/daftar-wakil-indonesia-di-denmark-open-2024-gregoria-mariska-hingga-jonatan-christie-siap-tempur-ganda-putri-absen-lagi
"


",https://sports.okezone.com/read/2024/09/09/38/3060752/francesco-bagnaia-akui-kehebatan-marc-marquez-di-motogp-san-marino-2024
MOTOGP,https://sports.okezone.com/motogp
Francesco Bagnaia Akui Kehebatan Marc Marquez di MotoGP San Marino 2024,https://sports.okezone.com/read/2024/09/09/38/3060752/francesco-bagnaia-akui-kehebatan-marc-marquez-di-motogp-san-marino-2024
"


",https://sports.okezone.com/read/2024/09/09/40/3060699/kisah-satwiksairaj-rankireddy-dan-chirag-shetty-pebulu-tangkis-india-yang-mendewakan-mohammad-ahsan-hendra-setiawan
NETTING,https://sports.okezone.com/netting
"Kisah Satwiksairaj Rankireddy dan Chirag Shetty, Pebulu Tangkis India yang Mendewakan Mohammad Ahsan/Hendra Setiawan",https://sports.okezone.com/read/2024/09/09/40/3060699/kisah-satwiksairaj-rankireddy-dan-chirag-shetty-pebulu-tangkis-india-yang-mendewakan-mohammad-ahsan-hendra-setiawan
MOTOGP,https://sports.okezone.com/motogp
"Menangi MotoGP San Marino 2024, Marc Marquez: Ini Kemenangan dari Fausto Gresini!",https://sports.okezone.com/read/2024/09/09/38/3060680/menangi-motogp-san-marino-2024-marc-marquez-ini-kemenangan-dari-fausto-gresini
"

",https://sports.okezone.com/read/2024/09/09/38/3060680/menangi-motogp-san-marino-2024-marc-marquez-ini-kemenangan-dari-fausto-gresini
"


",https://sports.okezone.com/read/2024/09/09/38/3060776/penyebab-jorge-martin-tertipu-kondisi-sirkuit-di-motogp-san-marino-2024
MOTOGP,https://sports.okezone.com/motogp
Penyebab Jorge Martin Tertipu Kondisi Sirkuit di MotoGP San Marino 2024,https://sports.okezone.com/read/2024/09/09/38/3060776/penyebab-jorge-martin-tertipu-kondisi-sirkuit-di-motogp-san-marino-2024
"




",https://video.okezone.com/play/2024/09/09/2/184955/presiden-jokowi-resmi-buka-pon-xxi-aceh-sumut-2024-pegang-teguh-sportivitas
SPORT,https://sports.okezone.com/video
Presiden Jokowi Resmi Buka PON XXI Aceh-Sumut 2024: Pegang Teguh Sportivitas ,https://video.okezone.com/play/2024/09/09/2/184955/presiden-jokowi-resmi-buka-pon-xxi-aceh-sumut-2024-pegang-teguh-sportivitas
"


",https://sports.okezone.com/read/2024/09/09/43/3060803/parade-kontingen-atlet-dari-39-provinsi-meriahkan-upacara-pembukaan-pon-xxi-aceh-sumut-2024
SPORT LAIN,https://sports.okezone.com/sportlain
